Player,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Danilo Pinnock,PG-SG,4.60%,-,-,6' 2.75'',6' 4'',8' 4.5'',204.0,6' 7.5''
Danny Granger,-%,-,-,6' 7.5'',6' 8.5'',8' 7'',225.4,7' 1.5''
Danny Green,SG-SF,5.60%,-,-,6' 5.25'',6' 6.5'',8' 7'',208.0,6' 10''
Dante Cunningham,PF,4.80%,-,-,6' 7'',6' 8.25'',8' 10.5'',227.4,6' 11''
Dante Exum,SG,6.40%,8.50,9.50,6' 4.5'',6' 6'',8' 7'',196.3,6' 9.5''
Darington Hobson,SG-SF,6.20%,8.25,9.00,6' 5.25'',6' 6.5'',8' 8.5'',203.6,6' 9.25''
Darius Bazley,PF,3.60%,9.00,9.75,6' 7.75'',6' 9'',8' 11'',208.4,7' 0''
Darius Johnson-Odom,SG,7.00%,8.75,8.75,6' 1.5'',6' 3'',8' 0'',212.0,6' 7''
Darius Miller,SF-SG,7.50%,8.50,8.75,6' 6'',6' 7.5'',8' 5'',233.4,6' 9''
Darius Morris,PG-SG,5.30%,8.75,10.00,6' 3.25'',6' 5.25'',8' 6'',190.0,6' 7.5''
Darius Washington,PG,9.70%,-,-,5' 11.5'',6' 1'',8' 0'',195.0,6' 4''
Darnell Jackson,PF,12.50%,-,-,6' 7'',6' 7.75'',8' 10.5'',240.5,6' 11.25''
Darrell Arthur,PF,7.30%,-,-,6' 7.5'',6' 8.5'',8' 11'',216.0,6' 10.75''
Darren Collison,PG,5.70%,-,-,6' 0.25'',6' 1.5'',8' 0.5'',166.2,6' 3''
Darryl Watkins,C,6.90%,-,-,6' 8.75'',6' 10.25'',9' 2'',241.0,7' 3''
Daryl Dorsey,PG,-%,-,-,5' 11.25'',6' 0.5'',7' 10'',160.8,5' 11.5''
David Lee,PF,-%,-,-,6' 7.75'',6' 9'',8' 10.5'',229.5,7' 0''
David Lighty,SG,6.50%,9.00,10.00,6' 4.75'',6' 6.5'',8' 5'',216.2,6' 8''
David Lucas,PF,-%,-,-,6' 6.5'',6' 7.75'',8' 7.5'',233.4,7' 0''
David Noel,SF-SG,6.10%,-,-,6' 4.5'',6' 6'',8' 4'',223.0,6' 9.5''
David Padgett,C-PF,9.00%,-,-,6' 10.25'',6' 11.5'',9' 1.5'',239.5,7' 1''
David Simon,C-PF,-%,-,-,6' 8'',6' 9.5'',9' 0'',258.8,7' 3.5''
Davon Jefferson,SF,12.00%,-,-,6' 5.25'',6' 6.5'',8' 9'',213.0,6' 9.5''
Davon Reed,SG-SF,6.50%,9.25,9.50,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0''
De?Aaron Fox,PG,4.50%,8.50,8.50,6' 2'',6' 3.25'',8' 4'',169.6,6' 6.5''
DeAndre Bembry,SG-SF,7.00%,8.00,9.25,6' 4.25'',6' 5.75'',8' 5'',206.6,6' 9.25''
DeAndre Daniels,SF,3.85%,9.25,10.50,6' 7.25'',6' 8.5'',8' 10.5'',196.0,7' 2''
DeAndre Jordan,C,7.50%,-,-,6' 9.75'',6' 11'',9' 5.5'',250.0,7' 6''
DeAndre Liggins,SF-SG,5.00%,8.75,10.00,6' 5'',6' 6.25'',8' 7.5'',202.2,6' 11''
DeAnthony Melton,SG-PG,5.20%,8.50,9.50,6' 2.25'',6' 3.25'',8' 3.5'',193.2,6' 8.5''
DeJuan Blair,PF,12.00%,-,-,6' 5.25'',6' 6.5'',8' 10.5'',276.6,7' 2''
DeMar DeRozan,SG-SF,4.90%,-,-,6' 5.5'',6' 6.5'',8' 6.5'',211.2,6' 9''
DeMarcus Cousins,C,16.40%,9.25,10.00,6' 9.5'',6' 10.75'',9' 5'',291.8,7' 5.75''
DeMarcus Nelson,PG-SG,4.50%,-,-,6' 1'',6' 2.25'',8' 2.5'',198.0,6' 10''
DeMarre Carroll,PF-SF,6.30%,-,-,6' 6.25'',6' 7.75'',8' 9'',207.2,6' 10''
DeVon Hardin,C-PF,5.80%,-,-,6' 9.5'',6' 10.75'',9' 1.5'',235.0,7' 3''
Dedric Lawson,PF,8.90%,9.75,9.75,6' 7'',6' 8.5'',8' 11.5'',233.0,7' 2.25''
Dee Brown,PG-SG,-%,-,-,5' 11'',6' 0'',7' 10'',179.0,6' 2''
Deji Akindele,C-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',236.4,7' 3''
Delon Wright,PG,6.60%,8.00,8.50,6' 4.25'',6' 5.5'',8' 5.5'',181.4,6' 7.5''
Delonte West,PG-SG,6.70%,-,-,6' 1.5'',6' 2.75'',8' 3.5'',183.0,6' 6''
Demetri McCamey,PG,6.10%,8.50,9.00,6' 1.75'',6' 3.25'',8' 3.5'',204.0,6' 6.25''
Demetris Nichols,SF,6.20%,-,-,6' 6'',6' 7.5'',8' 9'',211.0,7' 0.25''
Demetrius Jackson,PG,6.50%,8.25,9.00,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5''
Deng Gai,PF-C,-%,-,-,6' 7.75'',6' 9.25'',9' 2.5'',214.0,7' 4.5''
Denham Brown,SG-SF,9.00%,-,-,6' 4'',6' 5'',8' 6.5'',218.0,6' 9.5''
Dennis Schroder,PG,4.10%,8.75,10.50,6' 1'',6' 2'',8' 2'',164.8,6' 7.75''
Denzel Valentine,SG-SF,9.20%,8.50,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75''
Deonte Burton,PG,7.65%,8.25,8.00,6' 0'',6' 1.25'',8' 1.5'',192.8,6' 7''
Deron Washington,SF,7.20%,-,-,6' 5.25'',6' 6.25'',8' 6.5'',198.5,6' 9''
Deron Williams,PG,-%,-,-,6' 1.75'',6' 2.75'',8' 2'',202.4,6' 6.25''
Derrick Brown,SF-PF,8.60%,-,-,6' 7.5'',6' 8.5'',8' 11.5'',224.6,7' 2.5''
Derrick Caracter,PF,12.80%,9.00,10.25,6' 8.25'',6' 9.5'',8' 11.5'',280.0,7' 0.25''
Derrick Favors,PF,6.50%,8.75,9.25,6' 8.75'',6' 10.25'',9' 2'',245.2,7' 4''
Derrick Rose,PG,4.60%,-,-,6' 1.5'',6' 2.5'',8' 2.5'',196.0,6' 8''
Derrick Walton Jr.,PG,5.80%,8.00,8.50,5' 11'',6' 0.75'',7' 11'',188.6,6' 2.5''
Derrick White,PG,6.20%,8.25,8.50,6' 3.25'',6' 4.5'',8' 5.5'',189.8,6' 7.5''
Derrick Williams,PF-SF,10.80%,9.00,9.75,6' 7.25'',6' 8.75'',9' 0'',248.4,7' 1.5''
Deshaun Thomas,SF,9.10%,8.00,8.75,6' 5'',6' 7'',8' 8'',219.8,6' 10''
Desmon Farmer,SG,5.30%,-,-,6' 4.5'',6' 5.75'',8' 7'',214.0,6' 8.5''
Devin Booker,SG,8.30%,8.75,9.00,6' 4.5'',6' 5.75'',8' 6.5'',205.8,6' 8.25''
Devin Ebanks,SF,7.90%,8.25,9.00,6' 7'',6' 8.25'',8' 11.5'',207.8,7' 0.25''
Devin Harris,PG,5.30%,-,-,6' 1.75'',6' 3'',8' 2.5'',170.0,6' 7.5''
Devin Robinson,SF,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75''
Devon Dotson,PG,5.90%,8.25,9.50,6' 0'',6' 2'',7' 11.5'',178.6,6' 3.25''
Devon Hall,SG,8.45%,8.50,10.00,6' 4.25'',6' 6'',8' 6'',206.4,6' 7.75''
Devonte Graham,PG,4.80%,8.50,9.50,6' 0.25'',6' 1.5'',8' 0'',186.4,6' 6.25''
Devyn Marble,SG,6.90%,8.25,8.50,6' 5'',6' 6.5'',8' 6'',192.4,6' 9''
Dewan Hernandez,C,6.10%,9.50,10.25,6' 9'',6' 10.25'',8' 11'',232.8,7' 1.75''
Dewayne Dedmon,C,8.35%,9.00,11.00,6' 10'',6' 11.5'',9' 1'',238.8,7' 4''
Dexter Pittman,PF-C,20.80%,10.25,10.50,6' 9.5'',6' 11.5'',9' 3'',302.6,7' 6''
Deyonta Davis,PF,9.70%,9.00,9.25,6' 9.25'',6' 10.5'',9' 0.5'',237.2,7' 2.5''
Dez Wells,SG,8.10%,8.75,9.75,6' 3'',6' 4'',8' 4.5'',208.8,6' 9.5''
Diamond Stone,C,12.85%,8.50,7.75,6' 9'',6' 10.25'',9' 0.5'',254.4,7' 2.75''
Dijon Thompson,SF-SG,-%,-,-,6' 6.25'',6' 8'',8' 9.5'',195.8,6' 9.75''
Dillon Brooks,SG-SF,7.50%,8.25,9.25,6' 5'',6' 6'',8' 4.5'',220.2,6' 6''
Dion Waiters,SG,8.50%,8.50,9.50,6' 2.5'',6' 4'',8' 2'',221.0,6' 7.25''
Dionte Christmas,SG,7.10%,-,-,6' 4.25'',6' 5.5'',8' 6.5'',210.8,6' 9''
Dominic James,PG,4.80%,-,-,5' 10'',5' 11.75'',7' 9'',175.0,6' 2''
Dominic McGuire,SF,4.70%,-,-,6' 7'',6' 8.25'',8' 8'',220.0,6' 10.5''
Dominique Jones,SG,5.90%,9.00,10.25,6' 3.25'',6' 5'',8' 5'',216.0,6' 9.25''
Donovan Mitchell,SG,5.90%,8.50,9.50,6' 1.25'',6' 3'',8' 1'',211.4,6' 10''
Donte DiVincenzo,SG,5.00%,8.25,9.00,6' 3.5'',6' 4.5'',8' 1.5'',200.6,6' 6''
Donte Greene,SF-PF,7.60%,-,-,6' 8.25'',6' 9'',9' 0'',221.0,6' 10''
Dorian Finney-Smith,SF,6.45%,9.00,9.75,6' 6.5'',6' 7.75'',8' 9.5'',212.6,6' 11.75''
Doron Lamb,SG-PG,6.70%,8.50,8.75,6' 3.25'',6' 4.75'',8' 2.5'',199.4,6' 6.75''
Doug McDermott,SF,7.10%,8.75,9.75,6' 6.25'',6' 7.75'',8' 7'',218.0,6' 9.25''
Drago Pasalic,PF,12.90%,-,-,6' 9.25'',6' 10.75'',9' 0'',231.0,6' 11.5''
Drago Pasalic,SF-PF,-%,-,-,6' 9.5'',6' 11'',9' 0.5'',238.8,6' 11.75''
Draymond Green,PF-SF,11.30%,9.00,9.50,6' 5.75'',6' 7.5'',8' 9'',235.6,7' 1.25''
Drew Gordon,PF,9.10%,8.50,9.75,6' 8'',6' 8.75'',8' 7.5'',239.0,6' 11.5''
Drew Neitzel,PG,6.20%,-,-,5' 11.75'',6' 0.75'',7' 11'',175.5,6' 2.5''
Dustin Salisbery,SG,6.60%,-,-,6' 3'',6' 4.75'',8' 4.5'',208.0,6' 8''
Dwayne Bacon,SG-SF,7.90%,8.75,10.00,6' 4.75'',6' 6.25'',8' 7.5'',221.6,6' 10''
Dwayne Jones,C-PF,-%,-,-,6' 8.5'',6' 10'',9' 0.5'',242.2,7' 2.75''
Dwayne Mitchell,SG-SF,4.50%,-,-,6' 2'',6' 3.25'',8' 2.5'',208.0,6' 6.5''
Dwight Howard,PF-C,10.50%,-,-,6' 9'',6' 10.25'',9' 3.5'',240.0,7' 4.5''
Dwight Powell,PF,6.20%,9.00,9.25,6' 9.5'',6' 11'',8' 9'',234.4,7' 0.5''
Dylan Page,SF,12.30%,-,-,6' 7.5'',6' 8.75'',8' 9'',239.0,6' 7''
Dylan Windler,SF,4.60%,8.25,9.50,6' 6.25'',6' 7.5'',8' 8.5'',195.8,6' 10''
E'Twaun Moore,SG,7.60%,9.00,10.00,6' 2.5'',6' 4'',8' 3.5'',191.4,6' 9.5''
Earl Clark,SF-PF,5.20%,-,-,6' 8.5'',6' 10.25'',9' 1.5'',228.4,7' 2.5''
Ed Davis,PF,10.00%,9.25,10.00,6' 9'',6' 9.75'',9' 0'',226.6,7' 0''
Eddie Basden,SG-SF,-%,-,-,6' 4.25'',6' 5.5'',8' 5'',210.0,6' 10.25''
Eddy Fobbs,C-PF,-%,-,-,6' 10.25'',6' 11.25'',9' 3.5'',235.2,7' 6.75''
Edmond Sumner,PG,8.30%,8.25,9.00,6' 4'',6' 5.75'',8' 6.5'',176.4,6' 9''
Edrice Adebayo,PF-C,5.20%,9.50,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75''
Ekene Ibekwe,PF,3.20%,-,-,6' 8'',6' 9'',8' 8'',208.0,7' 6''
Ekpe Udoh,PF,8.00%,9.50,8.75,6' 8.75'',6' 9.75'',8' 10.5'',237.4,7' 4.5''
Elfrid Payton,PG,5.65%,8.75,9.00,6' 2.5'',6' 3.75'',8' 2.5'',185.4,6' 8''
Elgin Cook,SF,6.35%,8.50,10.25,6' 5'',6' 6.25'',8' 4.5'',209.8,6' 10''
Ellis Myles,PF,-%,-,-,6' 6'',6' 7.25'',8' 9.5'',255.2,6' 9.75''
Emeka Okafor,C-PF,5.30%,-,-,6' 8.75'',6' 10'',9' 2.5'',257.0,7' 4''
Enes Kanter,PF-C,5.90%,9.50,10.75,6' 9.75'',6' 11.25'',9' 1.5'',259.2,7' 1.5''
Eric Bledsoe,PG,5.60%,8.50,9.75,6' 0.25'',6' 1.5'',8' 2'',191.6,6' 7.5''
Eric Gordon,SG,8.20%,-,-,6' 2'',6' 3.25'',8' 3'',222.0,6' 9''
Eric Hicks,PF,7.10%,-,-,6' 4.75'',6' 5.5'',8' 9.5'',238.0,7' 1.5''
Eric Maynor,PG,5.40%,-,-,6' 2.25'',6' 3.25'',8' 1'',163.6,6' 2.5''
Eric Paschall,SF,6.30%,9.00,9.50,6' 6'',6' 7.25'',8' 7.5'',254.4,6' 11.75''
Eric Williams,C-PF,13.00%,-,-,6' 7.25'',6' 8.75'',8' 10.5'',285.0,7' 4.25''
Erick Green,PG,4.35%,8.50,9.00,6' 1.5'',6' 3'',8' 2'',178.2,6' 5.75''
Erik Daniels,SF-PF,18.50%,-,-,6' 6.25'',6' 7.5'',8' 10'',223.0,6' 11''
Erik Murphy,PF,7.95%,8.75,9.75,6' 8.75'',6' 9.5'',9' 0'',239.8,6' 10.5''
Ersan Ilyasova,SF,-%,-,-,6' 7.75'',6' 9'',9' 1.5'',208.8,7' 1.25''
Evan Turner,SG,8.60%,8.75,9.50,6' 5.75'',6' 7'',8' 7.5'',213.8,6' 8''
Fab Melo,C,9.20%,9.00,10.00,6' 10.75'',7' 0'',9' 2'',255.0,7' 2.5''
Festus Ezeli,C-PF,5.50%,9.00,10.75,6' 9.75'',6' 11.5'',9' 0'',264.2,7' 5.75''
Francisco Garcia,SF-SG,-%,-,-,6' 5.75'',6' 7'',8' 7'',189.6,6' 10.75''
Frank Elegar,PF,4.50%,-,-,6' 7.25'',6' 8.75'',8' 10'',210.0,7' 3.25''
Frank Jackson,PG,6.70%,8.25,9.00,6' 2'',6' 3.5'',8' 2'',201.6,6' 7.5''
Frank Kaminsky,C-PF,9.40%,8.50,9.50,6' 11.75'',7' 0.75'',9' 1.5'',231.2,6' 11''
Frank Mason III,PG,4.30%,8.00,9.25,5' 11'',6' 0'',7' 10'',188.8,6' 3.25''
Frans Steyn,C,12.80%,-,-,7' 1.25'',7' 2.5'',9' 1'',280.0,7' 2.25''
Gani Lawal,PF,6.30%,8.50,10.00,6' 7.5'',6' 9'',8' 11.5'',233.4,7' 0''
Gary Forbes,SG,6.50%,-,-,6' 4.5'',6' 5.75'',8' 8.5'',220.5,6' 11.25''
Gary Harris,SG,4.55%,8.50,9.50,6' 2.5'',6' 4.5'',8' 0'',204.8,6' 6.75''
Gary Payton II,PG,3.95%,8.75,9.50,6' 2'',6' 3'',8' 3.5'',183.8,6' 8''
Gary Trent,SG,7.00%,8.50,9.50,6' 4.25'',6' 5.75'',8' 2'',204.2,6' 8.75''
George Hill,PG,3.00%,-,-,6' 1.25'',6' 2.5'',8' 1.5'',181.0,6' 9''
George King,SF-SG,7.25%,9.00,10.25,6' 4.75'',6' 6'',8' 5.5'',218.6,6' 11.5''
Georges Niang,PF,10.05%,9.25,9.25,6' 6.75'',6' 8.5'',8' 7'',230.8,6' 10''
Gerald Green,SF,-%,-,-,6' 6'',6' 7.25'',8' 8'',192.0,6' 9.75''
Gerald Henderson,SG-SF,4.40%,-,-,6' 4'',6' 5'',8' 6.5'',214.6,6' 10.25''
Gerry McNamara,PG-SG,12.80%,-,-,5' 11.75'',6' 0.5'',7' 8.5'',177.0,6' 0.75''
Glen Rice,SF-SG,8.45%,8.50,9.00,6' 4.5'',6' 5.75'',8' 5.5'',210.8,6' 9.25''
Glenn Robinson III,SF,5.05%,9.00,9.50,6' 5.5'',6' 6.75'',8' 4.5'',211.4,6' 10''
Gordon Hayward,SF,6.90%,8.50,9.25,6' 6.75'',6' 8'',8' 7'',211.0,6' 7.75''
Gorgui Dieng,C,5.35%,9.00,10.00,6' 9.75'',6' 10.75'',9' 3.5'',229.6,7' 3.5''
Grant Jerrett,PF,10.05%,8.50,9.25,6' 8.75'',6' 10.25'',9' 1'',232.0,7' 2''
Grant Williams,PF,5.40%,9.00,10.50,6' 5.75'',6' 7.5'',8' 8.5'',240.2,6' 9.75''
Grayson Allen,SG,5.55%,8.25,10.00,6' 3'',6' 4.5'',8' 1'',198.0,6' 7.25''
Greg Monroe,PF-C,11.20%,8.75,9.50,6' 9.75'',6' 11'',9' 0.5'',246.6,7' 2.25''
Greg Oden,C,7.80%,-,-,6' 11'',7' 0'',9' 4'',257.0,7' 4.25''
Gregory Smith,PF-C,7.40%,9.75,12.00,6' 8'',6' 9.25'',8' 10.5'',252.8,7' 2.5''
Greivis Vasquez,PG-SG,8.60%,7.75,9.25,6' 5'',6' 6.5'',8' 5'',210.8,6' 7''
Hakim Warrick,PF-SF,-%,-,-,6' 7.25'',6' 8.5'',9' 0'',215.0,7' 2''
Hamidou Diallo,SG,4.45%,8.75,9.00,6' 4.25'',6' 6'',8' 7'',197.0,6' 11.5''
Hamidou Diallo,SG-SF,5.20%,8.50,9.50,6' 3.75'',6' 5'',8' 5.5'',197.4,6' 11.25''
Harrison Barnes,SF-SG,9.60%,9.00,8.50,6' 7'',6' 8'',8' 5.5'',227.8,6' 11.25''
Harry Giles,PF,5.20%,9.50,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232.0,7' 3.25''
Hasheem Thabeet,C,6.70%,-,-,7' 1.25'',7' 2.5'',9' 5'',267.2,7' 6.25''
Hassan Whiteside,C-PF,5.50%,8.25,10.25,6' 10.5'',6' 11.5'',9' 5'',226.6,7' 7''
Henry Ellenson,PF,11.20%,8.50,9.75,6' 10'',6' 11.5'',9' 0'',242.0,7' 2.25''
Henry Sims,C-PF,7.70%,9.25,10.00,6' 10'',6' 11.75'',9' 0'',241.2,7' 4''
Herbert Hill,C,5.60%,-,-,6' 7'',6' 9.75'',9' 0.5'',232.0,7' 2.25''
Herve Lamizana,SF-PF,6.70%,-,-,6' 7.5'',6' 8.5'',8' 11'',210.0,7' 1.5''
Hilton Armstrong,C-PF,6.30%,-,-,6' 9.5'',6' 10.25'',9' 1'',240.0,7' 4''
Hollis Thompson,SF,6.00%,8.25,9.75,6' 6.75'',6' 8'',8' 6.5'',206.0,6' 9.5''
Ian Vouyoukas,C-PF,14.80%,-,-,6' 8.5'',6' 9.5'',9' 0.5'',267.0,7' 0.75''
Ignas Brazdeikis,SF,6.00%,8.75,9.50,6' 5.75'',6' 7.25'',8' 6'',220.8,6' 9.25''
Ike Anigbogu,C,5.40%,9.50,10.00,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25''
Ike Diogu,PF,-%,-,-,6' 6.5'',6' 8'',9' 1'',255.4,7' 3.5''
Iman Shumpert,PG-SG,6.50%,9.00,9.00,6' 4.25'',6' 5.5'',8' 3.5'',221.8,6' 9.5''
Isaac Haas,C,12.55%,10.00,10.50,7' 1.25'',7' 2.75'',9' 3.5'',303.0,7' 5''
Isaiah Briscoe,PG,11.00%,9.00,9.25,6' 1.25'',6' 2.75'',8' 3.5'',222.4,6' 9''
Isaiah Canaan,PG,5.90%,8.25,9.50,5' 11'',6' 0'',7' 10.5'',188.4,6' 4.5''
Isaiah Cousins,PG,4.80%,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194.0,6' 6.25''
Isaiah Hicks,PF,7.70%,8.75,9.75,6' 7.25'',6' 8.5'',8' 9'',233.4,7' 0.5''
Isaiah Roby,PF,3.90%,9.00,10.50,6' 7.25'',6' 8.5'',8' 10'',214.0,7' 1''
Isaiah Thomas,PG,6.70%,8.25,9.00,5' 8.75'',5' 10.25'',7' 7.5'',186.0,6' 1.75''
Isaiah Whitehead,PG-SG,9.25%,8.50,8.75,6' 3.25'',6' 4.5'',8' 4'',210.0,6' 8.75''
Ivan Koljevic,PG,6.70%,-,-,6' 1'',6' 2'',7' 11'',172.0,6' 2.5''
Ivan McFarlin,PF,-%,-,-,6' 5.5'',6' 6.75'',8' 9.5'',228.6,6' 9''
Ivan Rabb,PF,6.80%,8.75,9.00,6' 8.75'',6' 10'',9' 1'',219.6,7' 1.5''
Ivan Radenovic,PF,9.80%,-,-,6' 9'',6' 10.75'',8' 10'',226.0,6' 11.75''
J'Covan Brown,PG,12.50%,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25''
J.P. Batista,PF,12.00%,-,-,6' 7.5'',6' 8.5'',8' 7.5'',265.0,6' 10''
J.P. Tokoto,SF-SG,4.10%,8.00,8.75,6' 5.25'',6' 6.25'',8' 4.5'',195.8,6' 10''
J.R. Giddens,SG,5.40%,-,-,6' 4'',6' 4.75'',8' 7'',208.0,6' 11.25''
J.R. Smith,SG-SF,6.70%,-,-,6' 5.5'',6' 6.75'',8' 8'',227.0,6' 10''
JJ Redick,SG,7.00%,-,-,6' 4'',6' 4.75'',8' 1.5'',190.0,6' 3.25''
JR Reynolds,PG,8.20%,-,-,6' 0'',6' 2.75'',7' 11'',188.0,6' 3.25''
JaJuan Johnson,PF,7.50%,9.00,10.00,6' 9'',6' 10'',8' 11.5'',219.8,7' 2''
JaMychal Green,PF,9.80%,9.25,9.25,6' 8'',6' 9'',8' 10.5'',217.4,7' 2.25''
JaVale McGee,C-PF,5.30%,-,-,6' 11'',7' 0'',9' 6.5'',241.0,7' 6''
Jabari Brown,SG,6.05%,9.00,9.25,6' 3'',6' 4.25'',8' 4'',201.9,6' 8.25''
Jack McClinton,SG-PG,6.20%,-,-,5' 11.75'',6' 0.75'',8' 0'',185.2,6' 2.5''
Jackie Butler,C,16.30%,-,-,6' 8'',6' 9.5'',9' 1'',263.0,7' 1.5''
Jackie Carmichael,PF,5.80%,9.00,10.25,6' 7.5'',6' 9'',8' 11'',241.2,7' 1.5''
Jackson Vroman,PF-C,6.70%,-,-,6' 9.25'',6' 10.75'',8' 9.5'',226.0,7' 0''
Jacob Evans,SG-SF,6.50%,9.00,9.25,6' 4.25'',6' 5.5'',8' 6.5'',199.6,6' 9.25''
Jae Crowder,SF,9.00%,9.50,10.50,6' 4.75'',6' 6.5'',8' 3.5'',241.2,6' 9.25''
Jaime Lloreda,PF,9.90%,-,-,6' 6.75'',6' 8.5'',8' 11'',247.0,6' 9.5''
Jake Layman,SF,7.10%,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25''
Jakob Poeltl,C,5.80%,9.25,10.25,7' 0.25'',7' 1'',9' 3.5'',239.0,7' 2.75''
Jalen Brunson,PG,6.70%,8.25,9.25,6' 1'',6' 2.25'',8' 0'',198.4,6' 4''
Jalen Hoard,PF,6.70%,8.75,9.75,6' 7.25'',6' 9'',8' 9.5'',212.6,7' 0.75''
Jalen Lecque,PG,4.00%,8.75,8.50,6' 2.5'',6' 4.25'',8' 2.5'',185.2,6' 8.5''
